appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
536510,Hacker Series,2016/9/28,1,exosyphen studios,exosyphen studios,windows,0,Single-player,Indie;Simulation;Strategy,Simulation;Strategy;Indie,0,7,15,0,0,0-20000,0.79
536530,Marlene Betwixt,2016/10/25,1,Uzi Games,Uzi Games,windows,0,Single-player;Partial Controller Support,Action;Adventure;Casual;Indie,Casual;Adventure;Indie,0,11,8,0,0,0-20000,2.99
536560,CHAOS CODE -NEW SIGN OF CATASTROPHE-,2017/3/15,1,FK Digital;Arc System Works,Arc System Works,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,2D Fighter;Action;Fighting,34,56,12,96,96,0-20000,14.99
536630,Maze Sounds,2016/10/1,1,AMIDEA Games,AMIDEA Games,windows;mac;linux,0,Single-player;Partial Controller Support,Adventure;Indie,Adventure;Indie;Puzzle,15,14,20,0,0,0-20000,3.99
536640,Grimm: Dark Legacy,2016/11/2,1,Artplant,GamesCo,windows,0,Single-player;Online Multi-Player;MMO;Online Co-op;Steam Achievements;Partial Controller Support,Action;Adventure;Indie,Action;Adventure;Indie,60,40,39,0,0,0-20000,10.99
536660,JCB Pioneer: Mars,2017/9/1,1,Atomicom,GamesCo,windows,0,Single-player,Action;Adventure;Indie;Simulation;Early Access,Early Access;Simulation;Action,0,57,41,0,0,0-20000,18.99
536670,Fear Of Traffic,2018/12/6,1,Flavio Rausa,BitService srl,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Casual;Racing,Action;Casual;Racing,7,2,1,0,0,0-20000,2.89
536680,Miniature - The Story Puzzle,2016/10/28,1,purpleElephant,purpleElephant,windows,0,Single-player,Casual;Indie;Strategy,Indie;Casual;Strategy,0,26,25,0,0,0-20000,2.79
536690,AENTITY,2018/4/14,1,ARQUOIA,ARQUOIA,windows,0,Single-player;Steam Achievements;Full controller support,Adventure;Indie;Simulation,Relaxing;Surreal;Psychedelic,25,21,4,0,0,0-20000,11.99
536750,BoomTown! Deluxe,2016/10/14,1,Ish Games,Ish Games,windows,0,Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards,Casual;Indie;Simulation;Strategy,Strategy;Simulation;Indie,25,51,14,0,0,20000-50000,1.69
536770,THE AWKWARD STEVE DUOLOGY,2017/7/17,1,"Oh, a Rock! Studios","Oh, a Rock! Studios",windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Casual;Indie,Indie;Adventure;Casual,3,28,0,0,0,0-20000,2.79
536780,Lost Grimoires: Stolen Kingdom,2016/11/10,1,World-Loom,Artifex Mundi,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Casual;Hidden Object,13,70,14,0,0,20000-50000,6.99
536800,FILE 9,2016/9/30,1,"Cypress Inheritance, LLC","Cypress Inheritance, LLC",windows,0,Single-player;Steam Achievements,Action;Adventure;Indie;Strategy,Action;Adventure;Strategy,10,2,5,0,0,0-20000,44.99
